G,Years,Days,Age,Team,Home,Win,Diff,Game Started,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,Total RB,AST,STL,BLK,TOV,PF,PTS,GmSc
11,23,40,23.10951403,CHI,0,1,10,0,23,10,17,0,1,4,6,1,0,1,1,1,3,4,2,24,15
12,23,43,23.11772758,CHI,0,0,-9,0,26,8,16,0,1,12,12,1,4,5,2,1,3,1,2,28,24.6
13,23,45,23.12320329,CHI,0,1,1,0,28,12,19,0,0,2,4,1,4,5,3,3,2,3,1,26,21.7
14,23,47,23.12867899,CHI,1,1,5,0,31,10,21,2,3,8,9,1,2,3,3,1,1,4,1,30,19.6
15,23,49,23.13415469,CHI,1,1,6,1,31,10,18,1,3,5,5,1,4,5,7,1,3,2,3,26,24.1
16,23,50,23.13689254,CHI,0,0,-13,1,33,12,25,0,2,6,6,1,5,6,6,2,1,7,2,30,18.6
17,23,53,23.14510609,CHI,1,1,2,1,37,12,36,0,1,7,10,1,4,5,2,3,1,2,5,31,12.4
18,23,55,23.15058179,CHI,0,0,-7,1,29,11,23,0,2,7,7,0,3,3,4,4,0,2,4,29,21.4
1,23,257,23.70362765,CHI,0,1,5,1,41,15,31,0,0,20,22,2,4,6,3,4,3,6,2,50,37.5
2,23,258,23.7063655,CHI,0,1,5,1,39,16,31,0,0,9,12,6,2,8,2,0,4,3,3,41,29.3
3,23,260,23.7118412,CHI,1,1,7,1,44,14,31,0,1,6,13,3,5,8,5,4,2,6,2,34,20.8
4,23,263,23.72005476,CHI,0,0,-6,1,42,11,26,0,1,11,15,0,0,0,5,1,1,3,4,33,18.2
5,23,264,23.72279261,CHI,1,1,5,1,39,17,27,0,0,5,5,3,3,6,3,5,0,3,2,39,33.2
6,23,267,23.73100616,CHI,1,1,2,1,39,14,32,0,0,6,6,4,1,5,3,1,3,5,4,34,18.9
7,23,268,23.73374401,CHI,0,0,-2,1,39,9,25,0,1,10,12,0,4,4,4,3,1,4,4,28,15.4
8,23,270,23.73921971,CHI,1,0,-12,1,41,17,33,1,1,13,14,2,3,5,1,2,1,0,3,48,35.8
9,23,277,23.75838467,CHI,1,1,2,1,40,14,26,0,0,12,15,1,5,6,4,3,2,2,2,40,32.8
10,23,278,23.76112252,CHI,1,1,9,1,39,10,26,0,0,2,3,2,7,9,4,3,1,3,3,22,13.2
11,23,282,23.77207392,CHI,0,0,-2,1,41,13,31,0,0,11,14,2,7,9,3,1,3,2,5,37,24
12,23,284,23.77754962,CHI,0,0,-7,1,45,19,43,0,1,3,4,8,2,10,3,1,1,3,4,41,23.5
13,23,285,23.78028747,CHI,0,0,-7,1,42,11,30,0,1,18,19,3,2,5,6,4,0,2,3,40,30.7
14,23,288,23.78850103,CHI,0,1,6,1,48,13,30,0,0,14,15,5,4,9,6,3,6,4,3,40,34.7
15,23,289,23.79123888,CHI,0,0,-5,1,40,17,33,0,2,11,13,0,3,3,3,6,1,2,3,45,34.4
16,23,291,23.79671458,CHI,0,0,-2,1,41,15,37,0,0,13,17,2,2,4,2,3,1,1,1,43,27.2
17,23,292,23.79945243,CHI,0,0,-9,1,44,18,38,0,2,7,7,5,0,5,3,1,1,2,4,43,27.3
18,23,295,23.80766598,CHI,1,1,6,1,42,16,30,0,0,8,9,2,4,6,6,3,4,3,3,40,33.4
19,23,296,23.81040383,CHI,0,0,-28,1,39,15,25,0,0,11,12,2,2,4,4,3,0,3,3,41,32.7
20,23,298,23.81587953,CHI,0,1,13,1,39,16,24,0,0,9,11,0,5,5,3,2,0,2,5,41,31.4
21,23,299,23.81861739,CHI,1,0,-23,1,31,3,17,0,0,5,8,0,4,4,2,0,1,2,2,11,-0.4
22,23,302,23.82683094,CHI,1,1,1,1,37,13,29,0,1,15,18,2,3,5,1,0,0,4,5,41,21.7
23,23,304,23.83230664,CHI,0,1,9,1,39,15,27,0,0,11,12,2,1,3,6,0,1,2,2,41,31.5
24,23,306,23.83778234,CHI,1,0,-2,1,38,10,26,0,0,7,8,0,4,4,7,2,4,5,3,27,17.1
25,23,309,23.84599589,CHI,1,1,16,1,35,18,33,0,1,7,7,4,1,5,6,2,0,3,2,43,32.6
26,23,311,23.85147159,CHI,0,0,-1,1,41,10,28,0,0,10,12,1,2,3,5,6,2,6,1,30,19.4
27,23,313,23.8569473,CHI,1,1,12,1,36,20,29,0,0,4,4,2,2,4,3,0,2,4,1,44,32.8
28,23,316,23.86516085,CHI,1,0,-3,1,40,12,27,2,3,5,7,1,4,5,3,4,0,2,4,31,20.5
29,23,319,23.8733744,CHI,0,0,-14,1,40,13,31,0,1,8,10,6,2,8,3,1,0,2,2,34,21.8
30,23,320,23.87611225,CHI,1,1,5,1,38,16,35,0,2,15,17,1,3,4,2,1,0,1,4,47,29.5
31,23,323,23.8843258,CHI,0,1,4,1,38,13,23,0,0,1,3,0,2,2,3,2,0,3,5,27,15
32,23,325,23.88980151,CHI,1,1,4,1,43,20,34,0,0,13,16,3,1,4,5,3,2,3,3,53,42.1
33,23,327,23.89527721,CHI,1,1,10,1,36,8,24,0,0,15,15,1,6,7,5,2,1,4,3,31,20.9
34,23,332,23.90896646,CHI,1,0,-11,1,43,17,43,1,4,8,9,1,2,3,3,2,1,2,2,43,22.6
35,23,334,23.91444216,CHI,1,1,16,1,44,17,34,0,0,13,14,5,5,10,6,4,1,4,2,47,38.7
36,23,336,23.91991786,CHI,0,0,-14,1,41,11,25,1,1,9,11,4,2,6,3,0,0,5,5,32,16.6
37,23,337,23.92265572,CHI,1,1,13,1,39,11,22,0,0,9,10,2,5,7,2,2,1,3,2,31,22.8
38,23,340,23.93086927,CHI,1,1,21,1,37,14,28,1,1,6,6,1,1,2,2,3,0,3,1,35,23
39,23,341,23.93360712,CHI,0,0,-30,1,27,11,20,0,0,5,6,0,0,0,1,1,0,1,4,27,16.1
40,23,344,23.94182067,CHI,1,0,-8,1,40,13,34,0,2,4,6,1,4,5,6,2,0,5,2,30,12.9
41,23,345,23.94455852,CHI,0,0,-29,1,37,11,23,0,2,5,8,1,3,4,4,1,1,6,3,27,13
42,23,347,23.95003422,CHI,0,0,-9,1,41,19,35,0,4,11,12,1,1,2,5,3,2,4,4,49,35
43,23,349,23.95550992,CHI,0,0,-2,1,44,14,39,1,5,9,9,4,1,5,5,5,0,2,5,38,23.9
44,23,351,23.96098563,CHI,1,1,7,1,43,12,28,0,1,8,9,3,3,6,6,0,2,5,3,32,19.2
45,23,353,23.96646133,CHI,0,0,-15,1,44,12,24,0,0,12,13,2,5,7,5,2,2,3,2,36,29.6
46,23,358,23.98015058,CHI,1,1,5,1,41,11,22,0,0,7,9,2,1,3,4,3,1,4,4,29,19.8
47,23,361,23.98836413,CHI,1,1,8,1,41,14,28,0,0,17,19,0,3,3,6,2,2,1,3,45,36.5
48,23,362,23.99110198,CHI,0,1,4,1,37,15,24,0,1,3,5,0,2,2,8,3,3,2,2,33,29.9
49,23,364,23.99657769,CHI,1,0,-4,1,48,13,30,0,1,17,18,1,6,7,6,5,4,7,5,43,32.3
50,24,3,24.00821355,CHI,1,0,-10,1,40,11,27,0,0,11,12,2,0,2,5,5,2,2,4,33,25.8
51,24,5,24.01368925,CHI,1,1,4,1,39,16,29,0,0,11,15,2,2,4,6,8,5,4,1,43,40.8
52,24,7,24.01916496,CHI,1,1,10,1,42,10,22,0,0,14,18,3,9,12,2,5,5,2,3,34,32.5
53,24,9,24.02464066,CHI,1,1,15,1,37,16,25,0,0,26,27,1,7,8,3,3,2,3,4,58,51.2
54,24,11,24.03011636,CHI,1,1,3,1,38,11,28,0,1,15,17,3,3,6,2,3,1,3,4,37,24.5
55,24,12,24.03285421,CHI,0,0,-10,1,39,10,23,0,1,10,12,3,1,4,4,3,2,7,4,30,18.1
56,24,14,24.03832991,CHI,1,1,34,1,28,11,17,0,0,8,9,0,3,3,8,3,2,2,1,30,30.6
57,24,15,24.04106776,CHI,0,1,5,1,43,22,39,0,0,17,18,3,4,7,3,3,3,5,0,61,47.6
58,24,17,24.04654346,CHI,1,0,-1,1,39,10,24,0,0,7,9,3,5,8,5,8,3,4,2,27,25.8
59,24,19,24.05201916,CHI,1,1,10,1,44,11,28,0,1,11,12,3,3,6,4,5,3,1,2,33,28.5
60,24,20,24.05475702,CHI,0,0,-5,1,42,12,26,0,1,7,10,2,5,7,8,3,1,3,2,31,24.8
61,24,22,24.06023272,CHI,0,0,-9,1,44,19,34,1,1,10,11,4,4,8,7,2,4,6,4,49,38.5
62,24,24,24.06570842,CHI,1,0,-1,1,36,7,22,0,0,10,13,1,3,4,3,0,0,2,2,24,11.1
63,24,25,24.06844627,CHI,0,0,-1,1,47,5,20,0,0,3,3,1,6,7,8,4,2,7,0,13,7.5
64,24,27,24.07392197,CHI,0,0,-1,1,43,15,28,0,1,14,14,1,3,4,5,4,0,4,5,44,33.5
65,24,28,24.07665982,CHI,0,0,-18,1,42,7,21,1,2,6,7,0,3,3,9,0,0,3,3,21,11.7
66,24,30,24.08213552,CHI,0,1,17,1,41,14,23,1,1,11,11,3,4,7,3,2,4,2,4,40,36.1
67,24,32,24.08761123,CHI,0,1,15,1,44,13,25,0,1,14,15,1,2,3,5,4,0,7,2,40,28.3
68,24,33,24.09034908,CHI,0,0,-2,1,43,14,26,0,2,18,20,0,1,1,6,4,0,7,3,46,32.9
69,24,35,24.09582478,CHI,1,1,2,1,44,22,32,0,1,12,15,1,6,7,3,8,0,7,2,56,46
70,24,37,24.10130048,CHI,0,0,-2,1,43,14,30,0,0,12,14,1,5,6,7,4,1,4,1,40,31.2
71,24,38,24.10403833,CHI,1,0,-5,1,40,9,23,0,0,4,5,3,4,7,7,7,1,3,3,22,20.8
