Age,Team,Home,Win,Game Started,Total RB,AST,PTS
24.98015058,CHI,0,0,1,4,4,34
24.98562628,CHI,0,1,1,6,8,27
24.98836413,CHI,0,0,1,2,2,27
24.99383984,CHI,1,1,1,13,8,32
25.0054757,CHI,1,1,1,3,3,49
25.0109514,CHI,0,0,1,4,9,46
25.0164271,CHI,1,1,1,9,5,39
25.02464066,CHI,1,0,1,8,3,52
25.02737851,CHI,1,0,1,2,3,38
25.03285421,CHI,0,0,1,5,4,35
25.04106776,CHI,1,1,1,10,7,36
25.04654346,CHI,1,1,1,6,4,21
25.05201916,CHI,0,0,1,10,3,38
25.06023272,CHI,1,1,1,9,7,38
25.06570842,CHI,1,1,1,7,6,28
25.07392197,CHI,1,1,1,6,1,38
25.07665982,CHI,0,0,1,4,5,25
25.08213552,CHI,1,1,1,5,9,50
25.08761123,CHI,0,0,1,4,7,26
25.09582478,CHI,0,1,1,13,2,49
25.10130048,CHI,0,1,1,8,7,39
25.10403833,CHI,1,1,1,3,2,38
25.11225188,CHI,0,0,1,4,4,26
25.11498973,CHI,0,1,1,6,4,36
25.12046543,CHI,0,1,1,11,7,38
25.12594114,CHI,0,1,1,4,6,59
25.13141684,CHI,1,0,1,3,1,29
25.13415469,CHI,0,1,1,6,6,37
25.13963039,CHI,1,1,1,6,3,40
25.15605749,CHI,0,1,1,6,3,35
25.15879535,CHI,0,1,1,0,4,28
25.16427105,CHI,1,1,1,3,6,44
25.16974675,CHI,0,1,1,5,2,47
25.17522245,CHI,0,0,1,3,8,39
25.1779603,CHI,1,0,1,1,7,26
25.183436,CHI,1,1,1,6,6,46
25.71457906,CHI,1,0,1,5,7,28
25.71731691,CHI,0,1,1,2,7,29
25.72553046,CHI,0,0,1,3,9,31
25.72826831,CHI,0,1,1,3,2,52
25.73374401,CHI,1,1,1,6,3,36
25.73648186,CHI,0,0,1,7,6,42
25.74469541,CHI,1,1,1,6,6,33
25.74743326,CHI,0,0,1,9,1,52
25.75290897,CHI,1,1,1,9,9,34
25.76386037,CHI,0,1,1,11,8,32
25.76659822,CHI,0,0,1,12,7,26
25.77481177,CHI,0,0,1,11,7,52
